ano;mes;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2021;4;Atividades Profissionais, Científicas E Técnicas;304;7514360.290000003
2021;10;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;2;2604.0
2022;9;"Comércio; Reparação De Veículos Automotores E Motocicletas";31;6894230.080000011
2023;1;Administração Pública, Defesa E Seguridade Social;11;93840.29
2020;10;Educação;25;369474.26
2024;12;Atividades Administrativas E Serviços Complementares;-203;5193598.339999991
2024;5;Artes, Cultura, Esporte E Recreação;-3;108416.45999999999
2012;2;Alojamento E Alimentação;171;1109380.97
2020;5;"Comércio; Reparação De Veículos Automotores E Motocicletas";-160;3151073.590000002
2024;5;Informação E Comunicação;80;1456051.529999999
2022;1;Indústrias De Transformação;63;3171515.590000003
2021;11;Administração Pública, Defesa E Seguridade Social;34;149156.56
2021;2;Transporte, Armazenagem E Correio;508;2693749.410000005
2020;5;Educação;-77;284086.4099999999
2021;3;"Comércio; Reparação De Veículos Automotores E Motocicletas";-45;5572427.530000004
2024;12;Outras Atividades De Serviços;-29;324920.43
2022;6;Informação E Comunicação;-16;1541520.4299999997
2021;9;Artes, Cultura, Esporte E Recreação;2;81166.45
2022;8;Atividades Financeiras, De Seguros E Serviços Relacionados;-3;372354.82999999996
2021;3;;-1;1318.6
2020;2;Indústrias De Transformação;43;3531875.4599999976
2012;2;Saúde Humana E Serviços Sociais;5;281521.5
2014;1;Alojamento E Alimentação;-133;696209.8999999999
2020;9;Artes, Cultura, Esporte E Recreação;22;72930.54000000001
2022;6;Atividades Financeiras, De Seguros E Serviços Relacionados;-13;312489.3200000001
2021;1;Atividades Profissionais, Científicas E Técnicas;243;4217314.120000008
2022;10;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;0;2985.42
2020;2;Atividades Profissionais, Científicas E Técnicas;-15;1584101.3999999994
2011;3;Administração Pública, Defesa E Seguridade Social;36;289101.87
2024;2;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-5;184782.82999999996
2020;12;Atividades Administrativas E Serviços Complementares;369;5062944.490000036
2021;5;Saúde Humana E Serviços Sociais;103;835475.7800000004
2021;5;Outras Atividades De Serviços;38;216691.29
