cod_familiar_fam;n_pessoas_fam;qtd_pessoas_domic_fam
1418441597;5;3.0
1418443611;5;2.0
1418444340;7;5.0
1418444421;5;2.0
1418446203;9;5.0
1418454303;4;2.0
1418455113;7;6.0
1418456357;5;3.0
1418457671;4;4.0
1418458481;8;5.0
1418458643;7;3.0
1426356340;5;1.0
1426358040;4;1.0
1426358555;5;5.0
1426359101;5;5.0
1426359608;2;2.0
1426359799;3;1.0
1426359950;10;9.0
1426361181;8;5.0
1427473781;2;1.0
1427473862;2;3.0
1419784811;7;7.0
1422663612;5;2.0
1422664007;5;2.0
1422665747;8;7.0
1422666042;3;1.0
1422670236;7;5.0
1422670406;5;2.0
1422671631;6;1.0
1422673251;4;2.0
1422673685;5;4.0
1422674657;6;5.0
1422675890;5;4.0
1422677249;4;2.0
1422678210;4;1.0
1422679292;7;2.0
1422679969;6;5.0
1422680380;6;6.0
1422680541;2;1.0
1422681947;3;2.0
1422686159;5;4.0
1422686825;3;4.0
1422687716;6;1.0
1422687805;5;4.0
1422688011;6;2.0
1422688879;6;2.0
1422689506;5;1.0
1422690423;4;2.0
1422692205;3;1.0
1422695654;5;4.0
1422695816;5;3.0
1422696545;3;2.0
1422697436;9;3.0
1422698246;5;5.0
1422698327;6;4.0
1422698408;4;4.0
1422698912;4;4.0
1422702022;6;2.0
1422703185;5;4.0
1422704238;9;7.0
1422704580;5;3.0
1422705803;4;1.0
1422706281;10;4.0
1422706443;8;4.0
1422706796;6;5.0
1422708063;6;4.0
1422708225;4;3.0
1422708578;2;2.0
1422710475;8;5.0
1422712257;5;2.0
1422713814;4;2.0
1422715787;9;3.0
1422716597;8;7.0
1426345305;7;7.0
1426345810;4;3.0
1426347278;8;4.0
1426347600;11;5.0
1426348401;5;5.0
1426349645;6;4.0
1426350228;4;3.0
1426351119;4;3.0
1426351380;3;3.0
1426351461;5;5.0
1426351623;10;7.0
1426351704;6;4.0
1426352352;4;4.0
1426353162;5;4.0
1426353324;4;4.0
1426353596;3;3.0
1426353758;5;4.0
1426354215;4;4.0
1427474400;1;1.0
1427475059;2;1.0
1427475644;1;2.0
1427480729;4;2.0
1427480990;5;2.0
1427481539;21;4.0
1427481962;5;3.0
1427483663;4;2.0
1427483825;5;4.0
1427484040;3;1.0
1427484805;4;5.0
1427485100;2;1.0
1427487146;5;2.0
1427487227;4;2.0
1427488207;9;3.0
1427488622;5;3.0
1427491500;6;6.0
1427491763;10;5.0
1427493707;10;7.0
1427493979;4;3.0
1427494002;8;6.0
1427494940;2;2.0
1427495408;5;3.0
1427496137;6;3.0
1430337354;8;3.0
1431898759;7;3.0
1431900168;5;2.0
1431900320;6;3.0
1431900591;3;2.0
1431901725;11;7.0
1431901806;4;3.0
1431901997;8;2.0
1431902888;6;6.0
