ano;cnae_2_descricao_secao;variable;media_idade
2025;Atividades Imobiliárias;Demissões;35.00653594771242
2009;Informação E Comunicação;Admissões;29.246714709622722
2025;Atividades Imobiliárias;Admissões;33.020270270270274
2013;Atividades Administrativas E Serviços Complementares;Admissões;29.771844660194176
2016;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;30.251976959875037
2025;Atividades Profissionais, Científicas E Técnicas;Admissões;31.563401442307693
2025;Saúde Humana E Serviços Sociais;Demissões;30.25257731958763
2013;Construção;Admissões;32.29098576700053
2025;Outras Atividades De Serviços;Admissões;32.71253822629969
2008;Informação E Comunicação;Admissões;28.73268292682927
2009;Transporte, Armazenagem E Correio;Demissões;32.2320710810239
2008;Transporte, Armazenagem E Correio;Admissões;31.211999268337298
2016;Alojamento E Alimentação;Admissões;27.287818349186868
2009;Construção;Demissões;34.3042189281642
2013;Educação;Admissões;30.601363473268748
2025;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;30.6194948023904
2008;Informação E Comunicação;Demissões;31.813064259160914
2009;Alojamento E Alimentação;Demissões;30.708071278825997
2016;Educação;Admissões;31.886541111621497
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;27.38656657835345
2016;Administração Pública, Defesa E Seguridade Social;Admissões;41.8362312980186
2008;Administração Pública, Defesa E Seguridade Social;Demissões;40.010473235065945
2025;Saúde Humana E Serviços Sociais;Admissões;28.876023722112397
2009;Indústrias De Transformação;Admissões;29.356280940594058
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;29.129682997118156
2013;Atividades Profissionais, Científicas E Técnicas;Demissões;30.714396887159534
2013;Administração Pública, Defesa E Seguridade Social;Admissões;42.467775709632384
2025;Atividades Profissionais, Científicas E Técnicas;Demissões;33.23037100949094
2016;Saúde Humana E Serviços Sociais;Admissões;32.47941802696948
2013;Artes, Cultura, Esporte E Recreação;Admissões;27.885572139303484
2009;Administração Pública, Defesa E Seguridade Social;Demissões;40.9073534175575
2025;Educação;Admissões;36.82023195876289
2021;;Admissões;37.0
2025;Atividades Administrativas E Serviços Complementares;Demissões;33.79628283667324
2016;Transporte, Armazenagem E Correio;Demissões;34.7778700435956
2008;Saúde Humana E Serviços Sociais;Demissões;31.25760649087221
2016;Atividades Administrativas E Serviços Complementares;Demissões;31.820347394540942
2025;Construção;Demissões;35.53382782647786
2025;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;34.77860564129856
2009;Atividades Administrativas E Serviços Complementares;Demissões;30.83517921868707
2013;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;23.76917854718262
2025;Outras Atividades De Serviços;Demissões;33.00953389830509
2025;Educação;Demissões;37.71533923303835
2013;Atividades Profissionais, Científicas E Técnicas;Admissões;29.16555407209613
2009;Educação;Demissões;34.700066357000665
2013;Artes, Cultura, Esporte E Recreação;Demissões;27.373684210526317
2016;Alojamento E Alimentação;Demissões;28.75635359116022
2009;Atividades Profissionais, Científicas E Técnicas;Demissões;30.6047197640118
2016;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;38.47861965491373
2025;Transporte, Armazenagem E Correio;Demissões;30.708588324279724
2013;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;28.86248002418693
2025;Construção;Admissões;34.78842756183746
2016;Atividades Administrativas E Serviços Complementares;Admissões;30.133704431346867
2016;Artes, Cultura, Esporte E Recreação;Demissões;28.918367346938776
2009;Indústrias De Transformação;Demissões;33.01085375405617
2008;Saúde Humana E Serviços Sociais;Admissões;29.147033533963885
2016;Construção;Demissões;34.778033541598155
2013;Alojamento E Alimentação;Demissões;31.08293655187687
2009;Outras Atividades De Serviços;Demissões;31.664759725400458
2016;Atividades Profissionais, Científicas E Técnicas;Demissões;33.1353919239905
2025;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;36.67741935483871
2008;Alojamento E Alimentação;Admissões;29.721400543314218
2016;Artes, Cultura, Esporte E Recreação;Admissões;27.876221498371336
2025;Transporte, Armazenagem E Correio;Admissões;29.557443298969073
2025;Indústrias De Transformação;Demissões;34.78711409395973
2013;Alojamento E Alimentação;Admissões;30.137292594091463
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;22.10952380952381
2013;Indústrias De Transformação;Admissões;29.536455412226584
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;28.558902983321587
2023;;Demissões;19.0
2008;Outras Atividades De Serviços;Admissões;29.499521531100477
2007;;Demissões;30.56200280767431
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;25.42128027681661
2013;Administração Pública, Defesa E Seguridade Social;Demissões;42.698015873015876
2008;Alojamento E Alimentação;Demissões;30.27742946708464
2013;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;27.90508172843502
2025;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;31.857142857142858
2009;Administração Pública, Defesa E Seguridade Social;Admissões;41.358822950497
2016;Transporte, Armazenagem E Correio;Admissões;33.20081184336199
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;27.45811937496549
2008;Construção;Demissões;34.30662214802449
2025;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;31.25938351855735
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;28.371911325668552
2008;Transporte, Armazenagem E Correio;Demissões;32.36372114712054
2025;Informação E Comunicação;Admissões;30.878167641325536
2016;Administração Pública, Defesa E Seguridade Social;Demissões;42.72791312004696
2025;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;37.05084745762712
2013;Transporte, Armazenagem E Correio;Demissões;32.57828319882612
2017;Saúde Humana E Serviços Sociais;Admissões;31.17656950672646
2019;Atividades Administrativas E Serviços Complementares;Demissões;33.33806557042182
2007;Outras Atividades De Serviços;Demissões;33.69379014989293
2017;Informação E Comunicação;Admissões;31.414372542009296
2019;Saúde Humana E Serviços Sociais;Demissões;33.575851393188856
2018;Outras Atividades De Serviços;Admissões;34.69165659008464
2007;Construção;Admissões;34.248536870854466
2015;Atividades Imobiliárias;Admissões;32.52272727272727
2017;Outras Atividades De Serviços;Admissões;31.373711340206185
